times,EcellV,ImA,EnergyChargeWh,QChargemAh,EnergyDischargeWh,QDischargemAh,TemperatureC,cycleNumber,Ns
138400.795173144,3.7815826,-4238.4556,7.01872324647985,0.0,-3.07069443963284,809.679585310059,28.943558,18,5
138401.795173249,3.78111,-4239.4404,7.01872324647985,0.0,-3.07514683348455,810.857121481934,28.93565,18,5
138402.795173353,3.7807162,-4241.4111,7.01872324647985,0.0,-3.0795996221781,812.034884762912,28.824951,18,5
138403.795173457,3.7803223,-4240.4258,7.01872324647985,0.0,-3.08405245057254,813.212781255697,28.943558,18,5
138404.795173562,3.7797315,-4240.623,7.01872324647985,0.0,-3.0885047017848,814.390709158258,28.91193,18,5
138405.795173666,3.7793379,-4240.229,7.01872324647985,0.0,-3.09295740885854,815.568880364855,28.872395,18,5
138406.79517377,3.7788258,-4242.79,7.01872324647985,0.0,-3.09741031414947,816.747263697103,28.832857,18,5
138407.795173875,3.7785501,-4239.835,7.01872324647985,0.0,-3.10186279459038,817.925620544705,29.062162,18,5
138408.795173979,3.7781563,-4242.9868,7.01872324647985,0.0,-3.10631562015812,819.104191582303,28.943558,18,5
138409.795174083,3.7776051,-4243.1841,7.01872324647985,0.0,-3.11076858295066,820.282970921495,28.722157,18,5
138410.795174187,3.7772112,-4243.3809,7.01872324647985,0.0,-3.11522098305755,821.461724208984,28.769602,18,5
138411.795174292,3.7767386,-4242.79,7.01872324647985,0.0,-3.11967349870407,822.640655574544,28.959372,18,5
138412.795174396,3.7762268,-4243.5781,7.01872324647985,0.0,-3.12412623918712,823.819806289605,28.880301,18,5
138413.7951745,3.7759116,-4246.3364,7.01872324647985,0.0,-3.12857877872631,824.999002215441,28.864487,18,5
138414.795174605,3.7754784,-4245.9424,7.01872324647985,0.0,-3.13303124872906,826.178315026856,28.888206,18,5
138415.795174709,3.7750058,-4246.3364,7.01872324647985,0.0,-3.13748412007725,827.357881778158,28.864487,18,5
138416.795174813,3.7744546,-4247.1245,7.01872324647985,0.0,-3.14193650770517,828.537492637804,28.737974,18,5
138417.795174918,3.7741394,-4248.5034,7.01872324647985,0.0,-3.14638895311401,829.717217319879,28.706345,18,5
138418.795175022,3.7736669,-4247.7153,7.01872324647985,0.0,-3.15084176918035,830.897187951389,28.824951,18,5
138419.795175126,3.773273,-4247.5186,7.01872324647985,0.0,-3.15529438234424,832.077227978787,28.801229,18,5
138420.795175231,3.7728004,-4248.7002,7.01872324647985,0.0,-3.159746793008,833.257362133247,28.904022,18,5
138421.795175335,3.7724459,-4251.6558,7.01872324647985,0.0,-3.16419962967244,834.437720119087,28.880301,18,5
138422.795175439,3.7720523,-4250.4736,7.01872324647985,0.0,-3.16865231593878,835.61816140842,28.998907,18,5
138423.795175543,3.7715402,-4250.4736,7.01872324647985,0.0,-3.17310469985236,836.798682818468,28.975185,18,5
138424.795175648,3.7710676,-4251.459,7.01872324647985,0.0,-3.17755741995969,837.979441308323,28.817045,18,5
138425.795175752,3.7707133,-4252.0498,7.01872324647985,0.0,-3.18201014399072,839.16031178087,28.730066,18,5
138426.795175856,3.7702801,-4253.2314,7.01872324647985,0.0,-3.18646246458033,840.341210930176,28.761692,18,5
138427.795175961,3.7698469,-4251.0649,7.01872324647985,0.0,-3.19091521268984,841.522359185927,28.943558,18,5
138428.795176065,3.7695713,-4254.4141,7.01872324647985,0.0,-3.19536831524086,842.703687828234,28.880301,18,5
138429.795176169,3.7689805,-4253.2319,7.01872324647985,0.0,-3.19982062746499,843.884991955567,28.832857,18,5
138430.795176274,3.768508,-4254.6108,7.01872324647985,0.0,-3.20427301991953,845.066465500217,28.967278,18,5
138431.795176378,3.7681928,-4254.8081,7.01872324647985,0.0,-3.20872602243123,846.248199765354,28.769602,18,5
138432.795176482,3.7677202,-4253.4292,7.01872324647985,0.0,-3.2131784463339,847.42992867296,28.904022,18,5
138433.795176587,3.7674839,-4254.2168,7.01872324647985,0.0,-3.2176310301592,848.611774139269,28.769602,18,5
138434.795176691,3.7669327,-4255.3989,7.01872324647985,0.0,-3.22208388980748,849.793865769857,29.04635,18,5
138435.795176795,3.7664995,-4256.3843,7.01872324647985,0.0,-3.2265363816687,850.97599571262,29.038443,18,5
138436.795176899,3.7660663,-4255.2021,7.01872324647985,0.0,-3.23098865862132,852.158204570041,28.753786,18,5
138437.795177004,3.7655938,-4257.9604,7.01872324647985,0.0,-3.23544139492778,853.340683770345,28.77751,18,5
138438.795177108,3.765121,-4257.5664,7.01872324647985,0.0,-3.23989389527733,854.523248784722,28.666809,18,5
138439.795177213,3.7647667,-4259.1421,7.01872324647985,0.0,-3.24434610356358,855.70584750841,28.872395,18,5
138440.795177317,3.7644122,-4258.748,7.01872324647985,0.0,-3.24879881754344,856.88869194336,28.658901,18,5
138441.795177421,3.7640183,-4258.748,7.01872324647985,0.0,-3.25325160659648,858.0716800963,28.540295,18,5
138442.795177525,3.7636247,-4259.3394,7.01872324647985,0.0,-3.25770392382955,859.254666612142,28.801229,18,5
138443.79517763,3.7631521,-4259.9302,7.01872324647985,0.0,-3.2621565378931,860.437880555827,28.880301,18,5
138444.795177734,3.7627583,-4259.9302,7.01872324647985,0.0,-3.26660943801845,861.62129437717,28.595646,18,5
138445.795177838,3.7622461,-4261.3096,7.01872324647985,0.0,-3.27106181362903,862.804729871419,28.943558,18,5
138446.795177943,3.7619705,-4259.3394,7.01872324647985,0.0,-3.27551427934487,863.98827601888,28.840765,18,5
138447.795178047,3.7614586,-4261.7036,7.01872324647985,0.0,-3.27996704337767,865.172062540148,28.904022,18,5
138448.795178151,3.7611041,-4261.5068,7.01872324647985,0.0,-3.28441955896065,866.355894589573,28.737974,18,5
138449.795178256,3.7607105,-4263.6738,7.01872324647985,0.0,-3.28887186664065,867.539795266385,28.880301,18,5
138450.79517836,3.7601197,-4262.689,7.01872324647985,0.0,-3.29332452393731,868.723974941406,28.753786,18,5
138451.795178464,3.7599227,-4263.8711,7.01872324647985,0.0,-3.29777737685647,869.90826866862,28.919836,18,5
138452.795178569,3.7594895,-4265.25,7.01872324647985,0.0,-3.30222976449541,871.09257510064,28.761692,18,5
138453.795178673,3.759017,-4264.6592,7.01872324647985,0.0,-3.30668236346925,872.277086632487,28.761692,18,5
138454.795178777,3.7587414,-4265.0527,7.01872324647985,0.0,-3.31113535186372,873.461788623318,28.698437,18,5
138455.795178881,3.7583082,-4266.4321,7.01872324647985,0.0,-3.3155878068676,874.646485247396,28.872395,18,5
138456.795178986,3.7579536,-4266.0381,7.01872324647985,0.0,-3.32004050324699,875.831357867296,28.809137,18,5
138457.79517909,3.7574418,-4265.644,7.01872324647985,0.0,-3.32449346872956,877.016463523763,28.737974,18,5
138458.795179194,3.7570479,-4267.2202,7.01872324647985,0.0,-3.32894614918309,878.201617554796,28.809137,18,5
138459.795179299,3.7565753,-4268.2046,7.01872324647985,0.0,-3.33339853727568,879.386842841797,28.74588,18,5
138460.795179403,3.7562602,-4266.4321,7.01872324647985,0.0,-3.33785134283994,880.572278721789,28.840765,18,5
138461.795179507,3.7557876,-4268.7959,7.01872324647985,0.0,-3.34230397590689,881.757817822537,28.927742,18,5
138462.795179612,3.7554333,-4267.417,7.01872324647985,0.0,-3.34675622882418,882.943367541233,29.006815,18,5
138463.795179716,3.7550395,-4270.1753,7.01872324647985,0.0,-3.35120888113003,884.129147973362,28.888206,18,5
138464.79517982,3.7546062,-4268.4023,7.01872324647985,0.0,-3.3556618137519,885.3151398801,28.817045,18,5
138465.795179924,3.7542517,-4270.3721,7.01872324647985,0.0,-3.36011429918295,886.501124668783,28.769602,18,5
138466.795180029,3.7538974,-4268.9932,7.01872324647985,0.0,-3.36456682294887,887.687231601834,28.508669,18,5
138467.795180133,3.7533853,-4271.3574,7.01872324647985,0.0,-3.36901964060664,888.873578671333,28.967278,18,5
138468.795180237,3.7530704,-4270.1753,7.01872324647985,0.0,-3.37347223950971,890.059967010091,29.030537,18,5
138469.795180342,3.7526371,-4271.9482,7.01872324647985,0.0,-3.37792451175038,891.246405257433,28.730066,18,5
138470.795180446,3.7522829,-4270.9634,7.01872324647985,0.0,-3.38237727415661,892.433086159397,28.904022,18,5
